Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,Temperature_K,Density,Wind_power
245,2008,9,1,1,False,0.859897172,69,28,7.5,0,10.0,75,8.0,29.82,0,293.7055555555555,1.197774049122102,1387.1621480629233
245,2008,9,1,4,False,0.628534704,69,28,7.5,0,10.0,77,5.0,29.85,0,293.7055555555555,1.1989790531956657,339.0033406794795
245,2008,9,1,7,True,0.397172237,69,28,7.5,0,10.0,70,0.0,29.89,5418,293.7055555555555,1.2005857252937504,0.0
245,2008,9,1,10,True,0.165809769,69,28,7.5,0,10.0,33,0.0,29.91,25477,293.7055555555555,1.2013890613427927,0.0
245,2008,9,1,13,True,0.065552699,69,28,7.5,0,10.0,21,3.0,29.89,30069,293.7055555555555,1.2005857252937504,73.32284516678332
245,2008,9,1,16,True,0.296915167,69,28,7.5,0,10.0,20,23.0,29.85,16280,293.7055555555555,1.1989790531956657,32997.22916837781
245,2008,9,1,19,True,0.528277635,69,28,7.5,0,10.0,36,15.0,29.83,515,293.7055555555555,1.1981757171466232,9146.957474594958
245,2008,9,1,22,False,0.759640103,69,28,7.5,0,10.0,49,6.0,29.86,0,293.7055555555555,1.1993807212201868,585.994019854172
246,2008,9,2,1,False,0.862113402,72,29,6.8,0,10.0,67,6.0,29.86,0,295.3722222222222,1.192613098138838,582.6874912564278
246,2008,9,2,4,False,0.630154639,72,29,6.8,0,10.0,49,0.0,29.87,0,295.3722222222222,1.1930124997122267,0.0
246,2008,9,2,7,True,0.398195876,72,29,6.8,0,10.0,54,0.0,29.9,4939,295.3722222222222,1.1942107044323929,0.0
246,2008,9,2,10,True,0.166237113,72,29,6.8,0,10.0,64,0.0,29.92,24335,295.3722222222222,1.1950095075791705,0.0
246,2008,9,2,13,True,0.065721649,72,29,6.8,0,10.0,23,9.0,29.88,29025,295.3722222222222,1.1934119012856155,1967.887476749982
246,2008,9,2,16,True,0.297680412,72,29,6.8,0,10.0,30,18.0,29.84,15408,295.3722222222222,1.1918142949920605,15722.024713847248
246,2008,9,2,19,True,0.529639175,72,29,6.8,0,10.0,65,11.0,29.84,491,295.3722222222222,1.1918142949920605,3588.13698459031
246,2008,9,2,22,False,0.761597938,72,29,6.8,0,10.0,75,5.0,29.85,0,295.3722222222222,1.1922136965654493,337.0904811575232
247,2008,9,3,1,False,0.86545925,73,29,7.9,0,10.0,72,6.0,29.84,0,295.92777777777775,1.1895768603796513,581.2040447258478
247,2008,9,3,4,False,0.632600259,73,29,7.9,0,10.0,78,6.0,29.86,0,295.92777777777775,1.190374163905375,581.593591672715
247,2008,9,3,7,True,0.399741268,73,29,7.9,0,10.0,63,0.0,29.88,4854,295.92777777777775,1.1911714674310987,0.0
247,2008,9,3,10,True,0.166882277,73,29,7.9,0,10.0,69,3.0,29.88,23855,295.92777777777775,1.1911714674310987,72.74789232744776
247,2008,9,3,13,True,0.065976714,73,29,7.9,0,10.0,33,10.0,29.84,28339,295.92777777777775,1.1895768603796513,2690.759466323369
247,2008,9,3,16,True,0.298835705,73,29,7.9,0,10.0,27,20.0,29.81,15308,295.92777777777775,1.1883809050910659,21504.434233538777
247,2008,9,3,19,True,0.531694696,73,29,7.9,0,10.0,53,14.0,29.81,455,295.92777777777775,1.1883809050910659,7376.020942103801
247,2008,9,3,22,False,0.764553687,73,29,7.9,0,10.0,70,6.0,29.85,0,295.92777777777775,1.1899755121425133,581.3988181992814
248,2008,9,4,1,False,0.86770428,76,30,6.9,0,10.0,73,0.0,29.83,0,297.59444444444443,1.1825182600927906,0.0
248,2008,9,4,4,False,0.634241245,76,30,6.9,0,10.0,78,6.0,29.82,0,297.59444444444443,1.1821218409643652,577.5616676907974
248,2008,9,4,7,True,0.40077821,76,30,6.9,0,10.0,70,0.0,29.84,4750,297.59444444444443,1.182914679221216,0.0
248,2008,9,4,10,True,0.167315175,76,30,6.9,0,10.0,64,3.0,29.85,23555,297.59444444444443,1.1833110983496413,72.2678394557776
248,2008,9,4,13,True,0.06614786,76,30,6.9,0,10.0,62,6.0,29.79,27741,297.59444444444443,1.1809325835790894,576.9806197353743
248,2008,9,4,16,True,0.299610895,76,30,6.9,0,10.0,30,15.0,29.75,14917,297.59444444444443,1.179346907065388,9003.217017627236
248,2008,9,4,19,True,0.53307393,76,30,6.9,0,10.0,27,17.0,29.74,429,297.59444444444443,1.1789504879369626,13101.610974158495
248,2008,9,4,22,False,0.766536965,76,30,6.9,0,10.0,33,5.0,29.77,0,297.59444444444443,1.1801397453222386,333.67665187023067
249,2008,9,5,1,False,0.869791667,77,29,8.5,0,10.0,53,3.0,29.77,0,298.15,1.1779407408216662,71.9398579670608
249,2008,9,5,4,False,0.635416667,77,29,8.5,0,10.0,70,7.0,29.76,0,298.15,1.1775450603578363,913.5956523136732
249,2008,9,5,7,True,0.401041667,77,29,8.5,0,10.0,61,0.0,29.8,4804,298.15,1.1791277822131558,0.0
249,2008,9,5,10,True,0.166666667,77,29,8.5,0,10.0,64,3.0,29.82,23551,298.15,1.1799191431408158,72.06068406374716
249,2008,9,5,13,True,0.067708333,77,29,8.5,0,10.0,49,5.0,29.78,27963,298.15,1.178336421285496,333.16677401110223
249,2008,9,5,16,True,0.302083333,77,29,8.5,0,10.0,19,22.0,29.75,14980,298.15,1.1771493798940063,28351.88833786137
249,2008,9,5,19,True,0.536458333,77,29,8.5,0,10.0,51,15.0,29.76,423,298.15,1.1775450603578363,8989.461593465441
